player_id,player_object_id,player_name,dob,dod,gender,batting_style,bowling_style,country_id,image_url,image_metadata
93957,1046619,Avinash Pai,1982-01-24,,M,right-hand bat,right-arm offbreak,18.0,,
2182,51462,Sherwin Campbell,1970-11-01,,M,right-hand bat,right-arm medium,4.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/326600/326616.4.jpg","{'id': 326616, 'url': '/db/PICTURES/CMS/326600/326616.4.jpg', 'slug': 'sherwin-campbell-player-portrait', 'width': 160, 'credit': 'Getty Images', 'height': 254, 'caption': 'Sherwin Campbell, player portrait', 'objectId': 1275842, 'peerUrls': None, 'longCaption': 'Sherwin Campbell, player portrait', 'photographer': None}"
48391,56194,Tamim Iqbal,1989-03-20,,M,left-hand bat,,25.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/303100/303166.jpg","{'id': 303166, 'url': '/db/PICTURES/CMS/303100/303166.jpg', 'slug': 'tamim-iqbal-portrait', 'width': 160, 'credit': 'Getty Images', 'height': 201, 'caption': 'Tamim Iqbal portrait', 'objectId': 1221600, 'peerUrls': None, 'longCaption': 'Tamim Iqbal portrait, April 2020', 'photographer': None}"
2198,55935,Javed Omar,1976-11-25,,M,right-hand bat,legbreak,25.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/302900/302990.jpg","{'id': 302990, 'url': '/db/PICTURES/CMS/302900/302990.jpg', 'slug': 'javed-omar-portrait', 'width': 160, 'credit': 'Getty Images', 'height': 202, 'caption': 'Javed Omar portrait', 'objectId': 1221372, 'peerUrls': None, 'longCaption': 'Javed Omar portrait, April 2020', 'photographer': None}"
52290,298438,Jason Roy,1990-07-21,,M,right-hand bat,,1.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/303900/303963.jpg","{'id': 303963, 'url': '/db/PICTURES/CMS/303900/303963.jpg', 'slug': 'jason-roy-portrait', 'width': 160, 'credit': 'Getty Images', 'height': 200, 'caption': 'Jason Roy portrait', 'objectId': 1222865, 'peerUrls': None, 'longCaption': 'Jason Roy, May 2020', 'photographer': None}"
87157,938959,Wessly Madhevere,2000-09-04,,M,right-hand bat,right-arm offbreak,9.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/324700/324710.4.jpg","{'id': 324710, 'url': '/db/PICTURES/CMS/324700/324710.4.jpg', 'slug': 'wessley-madhevere-player-portrait', 'width': 160, 'credit': 'ICC/Getty Images', 'height': 216, 'caption': 'Wessley Madhevere, player portrait', 'objectId': 1270432, 'peerUrls': None, 'longCaption': 'Wessley Madhevere, player portrait', 'photographer': 'Jan Kruger'}"
48927,226492,Martin Guptill,1986-09-30,,M,right-hand bat,right-arm offbreak,5.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/303600/303656.png","{'id': 303656, 'url': '/db/PICTURES/CMS/303600/303656.png', 'slug': 'martin-guptill-portrait', 'width': 160, 'credit': 'Getty Images', 'height': 200, 'caption': 'Martin Guptill portrait', 'objectId': 1222454, 'peerUrls': None, 'longCaption': 'Martin Guptill, May 2020', 'photographer': None}"
51444,290462,Solomon Mire,1989-08-21,,M,right-hand bat,right-arm medium-fast,9.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/205200/205281.1.jpg","{'id': 205281, 'url': '/db/PICTURES/CMS/205200/205281.1.jpg', 'slug': 'solomon-mire', 'width': 160, 'credit': 'Getty Images', 'height': 200, 'caption': 'Solomon Mire', 'objectId': 828123, 'peerUrls': None, 'longCaption': 'Solomon Mire, February 9, 2015', 'photographer': None}"
1550,38757,John Wright,1954-07-05,,M,left-hand bat,right-arm medium,5.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/303700/303762.png","{'id': 303762, 'url': '/db/PICTURES/CMS/303700/303762.png', 'slug': 'john-wright-portrait', 'width': 160, 'credit': 'Getty Images', 'height': 201, 'caption': 'John Wright portrait', 'objectId': 1222588, 'peerUrls': None, 'longCaption': 'John Wright, May 2020', 'photographer': None}"
10381,37265,Jamie How,1981-05-19,,M,right-hand bat,right-arm medium,5.0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/303600/303649.png","{'id': 303649, 'url': '/db/PICTURES/CMS/303600/303649.png', 'slug': 'jamie-how-portrait', 'width': 160, 'credit': 'Getty Images', 'height': 200, 'caption': 'Jamie How portrait', 'objectId': 1222447, 'peerUrls': None, 'longCaption': 'Jamie How, May 2020', 'photographer': None}"
