match_id,innings,team,batsman,runs,balls,fours,sixes,strikerate,isout,wickettype,fielders
361657,1,Zimbabwe,10423.0,53.0,38.0,5.0,3.0,139.47,True,run out,['47099']
361657,1,Zimbabwe,49282.0,12.0,22.0,2.0,0.0,54.54,True,caught,['47738']
361657,1,Zimbabwe,47619.0,8.0,26.0,0.0,0.0,30.76,True,caught,['19596']
361657,1,Zimbabwe,10421.0,4.0,6.0,1.0,0.0,66.66,True,caught,['8270']
361660,1,Pakistan,11647.0,44.0,41.0,4.0,1.0,107.31,True,caught,['15267']
361657,1,Zimbabwe,45252.0,4.0,8.0,0.0,0.0,50.0,True,caught,['9257']
361660,1,Pakistan,47738.0,0.0,5.0,0.0,0.0,0.0,True,caught,['11271']
361657,1,Zimbabwe,10639.0,0.0,1.0,0.0,0.0,0.0,True,caught,['9257']
361660,1,Pakistan,4169.0,14.0,13.0,1.0,0.0,107.69,True,caught,['8203']
361531,1,Scotland,45548.0,22.0,27.0,1.0,0.0,81.48,True,bowled,['-']
361660,1,Pakistan,10439.0,0.0,4.0,0.0,0.0,0.0,True,run out,['10412']
361657,1,Zimbabwe,49274.0,7.0,9.0,1.0,0.0,77.77,True,stumping,['9257']
361531,1,Scotland,46048.0,40.0,44.0,4.0,2.0,90.9,True,run out,"['45001', '48503']"
361660,1,Pakistan,8270.0,19.0,19.0,1.0,1.0,100.0,True,caught,['8203']
361657,1,Zimbabwe,51554.0,1.0,6.0,0.0,0.0,16.66,True,run out,['47738']
361531,1,Scotland,46142.0,25.0,27.0,1.0,0.0,92.59,True,run out,['5694']
361660,1,Pakistan,19596.0,23.0,25.0,2.0,0.0,92.0,False,not out,['-']
361657,1,Zimbabwe,45326.0,0.0,2.0,0.0,0.0,0.0,False,not out,['-']
361531,1,Scotland,8221.0,0.0,1.0,0.0,0.0,0.0,True,caught,['48503']
361657,1,Zimbabwe,7432.0,0.0,2.0,0.0,0.0,0.0,False,not out,['-']
361660,1,Pakistan,47099.0,2.0,4.0,0.0,0.0,50.0,True,caught,['11374']
361531,1,Scotland,4334.0,7.0,11.0,0.0,0.0,63.63,True,caught,['10323']
361657,1,Zimbabwe,47210.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361657,2,Pakistan,47738.0,50.0,54.0,6.0,0.0,92.59,True,caught,['10421']
361660,1,Pakistan,9257.0,12.0,8.0,1.0,0.0,150.0,True,stumping,['7419']
361531,1,Scotland,44588.0,0.0,1.0,0.0,0.0,0.0,True,caught,['5694']
361657,2,Pakistan,4169.0,5.0,6.0,1.0,0.0,83.33,True,caught,['49282']
350347,1,South Africa,7538.0,28.0,18.0,4.0,1.0,155.55,True,caught,['24667']
361660,1,Pakistan,44908.0,2.0,1.0,0.0,0.0,200.0,False,not out,['-']
361653,1,Zimbabwe,10639.0,1.0,3.0,0.0,0.0,33.33,True,caught,['15273']
354459,1,Kenya,10364.0,2.0,10.0,0.0,0.0,20.0,True,lbw,['-']
361531,1,Scotland,52063.0,2.0,5.0,0.0,0.0,40.0,True,run out,['45001']
361657,2,Pakistan,11647.0,33.0,48.0,2.0,1.0,68.75,False,not out,['-']
350347,1,South Africa,2347.0,18.0,10.0,4.0,0.0,180.0,True,bowled,['-']
361660,1,Pakistan,5649.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361653,1,Zimbabwe,10423.0,22.0,14.0,2.0,2.0,157.14,True,caught,['50377']
354459,1,Kenya,2264.0,14.0,14.0,1.0,0.0,100.0,True,bowled,['-']
361531,1,Scotland,48469.0,2.0,2.0,0.0,0.0,100.0,True,run out,['4192']
361657,2,Pakistan,11643.0,0.0,4.0,0.0,0.0,0.0,True,caught,['10639']
361659,1,Zimbabwe,10423.0,79.0,52.0,8.0,3.0,151.92,True,stumping,['10336']
350347,1,South Africa,7541.0,6.0,12.0,0.0,0.0,50.0,True,caught,['48277']
361660,1,Pakistan,48128.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361653,1,Zimbabwe,47619.0,13.0,15.0,2.0,0.0,86.66,True,caught,['48520']
354459,1,Kenya,49383.0,11.0,11.0,1.0,0.0,100.0,True,bowled,['-']
361531,1,Scotland,4968.0,3.0,2.0,0.0,0.0,150.0,False,not out,['-']
361657,2,Pakistan,47099.0,5.0,3.0,1.0,0.0,166.66,False,not out,['-']
361659,1,Zimbabwe,49282.0,0.0,2.0,0.0,0.0,0.0,True,caught,['57853']
350347,1,South Africa,46533.0,36.0,26.0,2.0,1.0,138.46,True,bowled,['-']
361660,2,Sri Lanka,1988.0,40.0,34.0,3.0,2.0,117.64,True,bowled,['-']
361653,1,Zimbabwe,10421.0,45.0,47.0,6.0,0.0,95.74,False,not out,['-']
354459,1,Kenya,2265.0,18.0,21.0,3.0,0.0,85.71,True,lbw,['-']
361531,1,Scotland,46091.0,0.0,0.0,0.0,0.0,0.0,False,not out,['-']
361657,2,Pakistan,9257.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361659,1,Zimbabwe,47619.0,40.0,35.0,5.0,0.0,114.28,True,caught,['21252']
350347,1,South Africa,45222.0,6.0,6.0,0.0,0.0,100.0,True,caught,['47986']
361660,2,Sri Lanka,48468.0,25.0,19.0,3.0,1.0,131.57,True,caught,['5649']
361653,1,Zimbabwe,21364.0,4.0,5.0,0.0,0.0,80.0,True,bowled,['-']
354459,1,Kenya,2268.0,6.0,10.0,0.0,0.0,60.0,True,caught,['8221']
361531,1,Scotland,47873.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361657,2,Pakistan,19596.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361659,1,Zimbabwe,10421.0,8.0,11.0,0.0,0.0,72.72,False,not out,['-']
350347,1,South Africa,9505.0,6.0,6.0,0.0,0.0,100.0,True,bowled,['-']
361660,2,Sri Lanka,6315.0,5.0,12.0,0.0,0.0,41.66,True,bowled,['-']
361653,1,Zimbabwe,45252.0,5.0,5.0,1.0,0.0,100.0,True,caught,['7419']
354459,1,Kenya,50293.0,6.0,16.0,0.0,0.0,37.5,True,bowled,['-']
361531,2,Netherlands,10323.0,2.0,3.0,0.0,0.0,66.66,True,caught,['46142']
361657,2,Pakistan,49125.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361659,1,Zimbabwe,10639.0,6.0,5.0,1.0,0.0,120.0,True,lbw,['-']
350347,1,South Africa,45889.0,3.0,3.0,0.0,0.0,100.0,False,not out,['-']
361660,2,Sri Lanka,8203.0,8.0,11.0,0.0,0.0,72.72,True,lbw,['-']
361653,1,Zimbabwe,49274.0,3.0,4.0,0.0,0.0,75.0,True,run out,['6315']
354459,1,Kenya,47212.0,28.0,25.0,1.0,1.0,112.0,True,caught,['46142']
361653,2,Sri Lanka,50377.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361531,2,Netherlands,48655.0,30.0,39.0,2.0,0.0,76.92,True,caught,['8221']
361657,2,Pakistan,44908.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361659,1,Zimbabwe,45252.0,25.0,10.0,3.0,2.0,250.0,True,caught,['8053']
350347,1,South Africa,10401.0,1.0,2.0,0.0,0.0,50.0,True,bowled,['-']
361660,2,Sri Lanka,48520.0,17.0,22.0,2.0,0.0,77.27,False,not out,['-']
361653,1,Zimbabwe,45326.0,4.0,6.0,0.0,0.0,66.66,True,stumping,['7419']
354459,1,Kenya,8207.0,1.0,4.0,0.0,0.0,25.0,True,caught,['45548']
361531,2,Netherlands,6362.0,24.0,28.0,3.0,0.0,85.71,True,caught,['8221']
361657,2,Pakistan,8270.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361659,1,Zimbabwe,21364.0,16.0,6.0,2.0,1.0,266.66,False,not out,['-']
350347,1,South Africa,17857.0,1.0,1.0,0.0,0.0,100.0,False,not out,['-']
361660,2,Sri Lanka,10412.0,12.0,10.0,2.0,0.0,120.0,True,bowled,['-']
361653,1,Zimbabwe,7432.0,1.0,2.0,0.0,0.0,50.0,True,caught,['15273']
354459,1,Kenya,9228.0,8.0,6.0,0.0,1.0,133.33,True,run out,['-']
361531,2,Netherlands,49443.0,9.0,7.0,2.0,0.0,128.57,True,caught,['45548']
361657,2,Pakistan,19036.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361659,1,Zimbabwe,47234.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
350347,1,South Africa,47289.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361660,2,Sri Lanka,7419.0,7.0,9.0,0.0,0.0,77.77,False,not out,['-']
361653,1,Zimbabwe,45215.0,2.0,2.0,0.0,0.0,100.0,False,not out,['-']
354459,1,Kenya,4171.0,3.0,2.0,0.0,0.0,150.0,False,not out,['-']
361531,2,Netherlands,45358.0,24.0,18.0,1.0,1.0,133.33,False,not out,['-']
361659,1,Zimbabwe,47210.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
350347,1,South Africa,47154.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361660,2,Sri Lanka,11374.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361653,1,Zimbabwe,47210.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
354459,1,Kenya,49761.0,3.0,1.0,0.0,0.0,300.0,False,not out,['-']
361531,2,Netherlands,6365.0,0.0,2.0,0.0,0.0,0.0,True,caught,['45548']
361659,1,Zimbabwe,45326.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
350347,2,Bangladesh,48391.0,25.0,24.0,4.0,0.0,104.16,True,stumping,['46533']
361660,2,Sri Lanka,15267.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361653,2,Sri Lanka,48468.0,25.0,15.0,2.0,1.0,166.66,True,caught,['49274']
354459,2,Scotland,45548.0,54.0,61.0,6.0,0.0,88.52,True,caught,['49761']
361531,2,Netherlands,45001.0,16.0,12.0,3.0,0.0,133.33,False,not out,['-']
361659,1,Zimbabwe,7432.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
350347,2,Bangladesh,47218.0,4.0,2.0,1.0,0.0,200.0,True,caught,['46533']
361660,2,Sri Lanka,11271.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361653,2,Sri Lanka,7419.0,33.0,37.0,3.0,0.0,89.18,True,bowled,['-']
354459,2,Scotland,46048.0,48.0,45.0,5.0,1.0,106.66,False,not out,['-']
361531,2,Netherlands,6368.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
361659,2,Canada,10336.0,2.0,8.0,0.0,0.0,25.0,True,caught,['10639']
350347,2,Bangladesh,24667.0,21.0,10.0,5.0,0.0,210.0,True,bowled,['-']
361660,2,Sri Lanka,50377.0,9.0,9.0,1.0,0.0,100.0,False,DNB,['-']
