match_id,innings,team,opposition,bowler_id,overs,balls,maidens,conceded,wickets,economy,dots,fours,sixes,wides,noballs
300436,1,New Zealand,England,10303.0,4.0,24.0,0.0,35.0,1.0,8.75,10.0,3.0,2.0,1.0,0.0
300436,1,New Zealand,England,9711.0,4.0,24.0,0.0,45.0,1.0,11.25,5.0,6.0,1.0,1.0,0.0
300436,1,New Zealand,England,10325.0,3.0,18.0,0.0,43.0,2.0,14.33,5.0,3.0,4.0,1.0,0.0
300436,1,New Zealand,England,49108.0,4.0,24.0,0.0,22.0,2.0,5.5,10.0,1.0,1.0,0.0,0.0
300436,1,New Zealand,England,9570.0,3.0,18.0,0.0,25.0,0.0,8.33,8.0,3.0,1.0,0.0,0.0
300436,1,New Zealand,England,44946.0,2.0,12.0,0.0,22.0,0.0,11.0,2.0,2.0,1.0,0.0,0.0
300436,2,England,New Zealand,10829.0,4.0,24.0,0.0,36.0,1.0,9.0,9.0,5.0,1.0,0.0,0.0
300436,2,England,New Zealand,4647.0,4.0,24.0,0.0,19.0,2.0,4.75,9.0,1.0,0.0,0.0,0.0
300436,2,England,New Zealand,48440.0,4.0,24.0,0.0,31.0,1.0,7.75,13.0,2.0,2.0,0.0,1.0
300436,2,England,New Zealand,6769.0,4.0,24.0,0.0,25.0,2.0,6.25,11.0,2.0,1.0,0.0,0.0
300436,2,England,New Zealand,7013.0,4.0,24.0,0.0,30.0,2.0,7.5,5.0,1.0,1.0,0.0,0.0
354459,1,Scotland,Kenya,4968.0,4.0,24.0,0.0,22.0,1.0,5.5,12.0,1.0,0.0,0.0,0.0
354459,1,Scotland,Kenya,47873.0,4.0,24.0,0.0,10.0,3.0,2.5,19.0,1.0,0.0,2.0,0.0
291356,1,Australia,India,5966.0,3.0,18.0,0.0,13.0,1.0,4.33,13.0,1.0,0.0,2.0,0.0
354459,1,Scotland,Kenya,52063.0,4.0,24.0,1.0,29.0,1.0,7.25,12.0,1.0,2.0,0.0,0.0
291356,1,Australia,India,7445.0,2.3,15.0,1.0,11.0,3.0,4.4,8.0,1.0,0.0,0.0,0.0
354459,1,Scotland,Kenya,48469.0,4.0,24.0,0.0,21.0,2.0,5.25,12.0,2.0,0.0,0.0,0.0
291356,1,Australia,India,8244.0,4.0,24.0,0.0,23.0,1.0,5.75,7.0,1.0,0.0,0.0,0.0
354459,1,Scotland,Kenya,8224.0,4.0,24.0,0.0,20.0,1.0,5.0,11.0,1.0,0.0,0.0,0.0
361660,1,Sri Lanka,Pakistan,11374.0,4.0,24.0,0.0,22.0,1.0,5.5,10.0,1.0,0.0,3.0,0.0
361531,1,Netherlands,Scotland,5694.0,4.0,24.0,0.0,17.0,0.0,4.25,10.0,0.0,0.0,1.0,0.0
