match_id,innings,for_wicket,team,opposition,player1,player2,player1_runs,player2_runs,player1_balls,player2_balls,partnership_runs,partnership_balls
361660,1,1.0,Pakistan,Sri Lanka,11647.0,47738.0,0.0,0.0,0.0,5.0,9.0,10.0
361660,1,2.0,Pakistan,Sri Lanka,4169.0,11647.0,14.0,9.0,13.0,8.0,25.0,21.0
361660,1,3.0,Pakistan,Sri Lanka,10439.0,11647.0,0.0,1.0,4.0,3.0,1.0,7.0
361660,1,4.0,Pakistan,Sri Lanka,8270.0,11647.0,19.0,22.0,19.0,16.0,46.0,35.0
361660,1,5.0,Pakistan,Sri Lanka,11647.0,19596.0,6.0,8.0,9.0,10.0,18.0,19.0
361660,1,6.0,Pakistan,Sri Lanka,19596.0,47099.0,7.0,2.0,8.0,4.0,10.0,12.0
361660,1,7.0,Pakistan,Sri Lanka,9257.0,19596.0,12.0,8.0,8.0,7.0,21.0,15.0
361660,1,8.0,Pakistan,Sri Lanka,19596.0,44908.0,0.0,2.0,0.0,1.0,2.0,1.0
361660,2,1.0,Sri Lanka,Pakistan,1988.0,48468.0,36.0,25.0,24.0,19.0,66.0,43.0
354459,1,1.0,Kenya,Scotland,2264.0,10364.0,0.0,2.0,2.0,10.0,5.0,12.0
361660,2,2.0,Sri Lanka,Pakistan,1988.0,6315.0,4.0,2.0,10.0,6.0,8.0,16.0
354459,1,2.0,Kenya,Scotland,2264.0,49383.0,0.0,11.0,0.0,11.0,22.0,19.0
361660,2,3.0,Sri Lanka,Pakistan,6315.0,8203.0,3.0,4.0,6.0,6.0,8.0,12.0
300436,1,1.0,England,New Zealand,11556.0,44660.0,33.0,30.0,16.0,19.0,65.0,35.0
361660,2,4.0,Sri Lanka,Pakistan,8203.0,48520.0,4.0,7.0,5.0,9.0,12.0,14.0
354459,1,3.0,Kenya,Scotland,2264.0,2265.0,3.0,1.0,4.0,6.0,4.0,10.0
300436,1,2.0,England,New Zealand,8107.0,11556.0,3.0,2.0,3.0,3.0,5.0,6.0
291356,1,1.0,India,Australia,7773.0,7781.0,3.0,0.0,2.0,2.0,5.0,4.0
361654,1,1.0,Pakistan,Canada,11647.0,47738.0,11.0,9.0,11.0,8.0,20.0,19.0
361653,1,1.0,Zimbabwe,Sri Lanka,10423.0,10639.0,8.0,1.0,5.0,2.0,11.0,7.0
350347,1,1.0,South Africa,Bangladesh,2347.0,7538.0,18.0,20.0,10.0,15.0,43.0,25.0
361660,2,5.0,Sri Lanka,Pakistan,10412.0,48520.0,12.0,0.0,10.0,0.0,21.0,14.0
354459,1,4.0,Kenya,Scotland,2265.0,2268.0,17.0,6.0,15.0,9.0,25.0,24.0
300436,1,3.0,England,New Zealand,7822.0,11556.0,1.0,0.0,3.0,0.0,1.0,4.0
361657,1,1.0,Zimbabwe,Pakistan,10423.0,49282.0,39.0,12.0,25.0,22.0,62.0,47.0
291356,1,2.0,India,Australia,7773.0,8813.0,6.0,1.0,4.0,1.0,7.0,5.0
361654,1,2.0,Pakistan,Canada,10439.0,11647.0,13.0,15.0,19.0,13.0,30.0,32.0
361659,1,1.0,Zimbabwe,Canada,10423.0,49282.0,4.0,0.0,6.0,2.0,4.0,8.0
361653,1,2.0,Zimbabwe,Sri Lanka,10423.0,47619.0,14.0,0.0,10.0,0.0,16.0,15.0
350347,1,2.0,South Africa,Bangladesh,7538.0,7541.0,8.0,1.0,3.0,4.0,15.0,7.0
361660,2,6.0,Sri Lanka,Pakistan,7419.0,48520.0,7.0,4.0,9.0,8.0,18.0,17.0
354459,1,5.0,Kenya,Scotland,2268.0,50293.0,0.0,0.0,1.0,1.0,0.0,2.0
300436,1,4.0,England,New Zealand,2314.0,11556.0,0.0,5.0,0.0,5.0,5.0,5.0
361657,1,2.0,Zimbabwe,Pakistan,10423.0,47619.0,13.0,3.0,12.0,10.0,18.0,22.0
361531,1,1.0,Scotland,Netherlands,45548.0,46048.0,22.0,30.0,27.0,34.0,55.0,61.0
291356,1,3.0,India,Australia,8742.0,8813.0,1.0,7.0,1.0,7.0,8.0,8.0
361654,1,3.0,Pakistan,Canada,8270.0,11647.0,9.0,0.0,11.0,0.0,13.0,16.0
361659,1,2.0,Zimbabwe,Canada,10423.0,47619.0,43.0,40.0,26.0,35.0,89.0,61.0
361653,1,3.0,Zimbabwe,Sri Lanka,10421.0,47619.0,4.0,12.0,7.0,10.0,16.0,17.0
350347,1,3.0,South Africa,Bangladesh,7541.0,46533.0,5.0,9.0,8.0,8.0,14.0,16.0
354459,1,6.0,Kenya,Scotland,47212.0,50293.0,0.0,6.0,0.0,15.0,22.0,33.0
300436,1,5.0,England,New Zealand,2314.0,6377.0,54.0,47.0,27.0,35.0,102.0,62.0
361657,1,3.0,Zimbabwe,Pakistan,10421.0,47619.0,7.0,0.0,6.0,0.0,6.0,7.0
361531,1,2.0,Scotland,Netherlands,46048.0,46142.0,10.0,11.0,9.0,12.0,22.0,21.0
291356,1,4.0,India,Australia,8742.0,48405.0,0.0,0.0,2.0,0.0,0.0,2.0
361654,1,4.0,Pakistan,Canada,11647.0,19596.0,44.0,17.0,27.0,16.0,64.0,43.0
361659,1,3.0,Zimbabwe,Canada,10421.0,10423.0,4.0,32.0,7.0,20.0,40.0,27.0
361653,1,4.0,Zimbabwe,Sri Lanka,10421.0,21364.0,4.0,9.0,3.0,13.0,14.0,16.0
350347,1,4.0,South Africa,Bangladesh,45222.0,46533.0,6.0,10.0,6.0,7.0,17.0,13.0
354459,1,7.0,Kenya,Scotland,8207.0,47212.0,1.0,0.0,4.0,0.0,12.0,9.0
300436,1,6.0,England,New Zealand,2314.0,6769.0,0.0,0.0,1.0,0.0,0.0,1.0
361657,1,4.0,Zimbabwe,Pakistan,45252.0,47619.0,4.0,2.0,12.0,7.0,10.0,19.0
361531,1,3.0,Scotland,Netherlands,8221.0,46142.0,0.0,4.0,1.0,3.0,4.0,4.0
291356,1,5.0,India,Australia,7593.0,48405.0,4.0,8.0,12.0,8.0,12.0,20.0
361654,1,5.0,Pakistan,Canada,4169.0,19596.0,0.0,0.0,0.0,1.0,0.0,1.0
361659,1,4.0,Zimbabwe,Canada,10421.0,10639.0,0.0,6.0,0.0,6.0,7.0,7.0
361653,1,5.0,Zimbabwe,Sri Lanka,10421.0,45252.0,0.0,12.0,0.0,9.0,20.0,20.0
350347,1,5.0,South Africa,Bangladesh,9505.0,46533.0,6.0,16.0,6.0,9.0,22.0,15.0
354459,1,8.0,Kenya,Scotland,9228.0,47212.0,0.0,1.0,0.0,2.0,2.0,4.0
300436,1,7.0,England,New Zealand,6769.0,7013.0,10.0,3.0,3.0,2.0,14.0,5.0
361657,1,5.0,Zimbabwe,Pakistan,10639.0,47619.0,0.0,0.0,1.0,0.0,0.0,1.0
361531,1,4.0,Scotland,Netherlands,4334.0,46142.0,8.0,9.0,11.0,11.0,17.0,22.0
291356,1,6.0,India,Australia,7593.0,11399.0,5.0,11.0,15.0,15.0,17.0,30.0
361654,1,6.0,Pakistan,Canada,4169.0,9257.0,0.0,2.0,0.0,3.0,3.0,4.0
361659,1,5.0,Zimbabwe,Canada,10421.0,45252.0,1.0,25.0,2.0,9.0,26.0,11.0
361653,1,6.0,Zimbabwe,Sri Lanka,10421.0,49274.0,0.0,0.0,0.0,0.0,3.0,4.0
350347,1,6.0,South Africa,Bangladesh,45889.0,46533.0,1.0,1.0,1.0,2.0,2.0,3.0
354459,1,9.0,Kenya,Scotland,4171.0,9228.0,0.0,8.0,0.0,3.0,11.0,6.0
300436,1,8.0,England,New Zealand,7013.0,48440.0,0.0,0.0,0.0,1.0,0.0,1.0
361657,1,6.0,Zimbabwe,Pakistan,47619.0,49274.0,0.0,0.0,4.0,0.0,2.0,7.0
361531,1,5.0,Scotland,Netherlands,44588.0,46142.0,0.0,0.0,1.0,0.0,1.0,2.0
291356,1,7.0,India,Australia,11399.0,48319.0,5.0,6.0,5.0,10.0,11.0,15.0
361654,1,7.0,Pakistan,Canada,4169.0,48128.0,6.0,0.0,2.0,0.0,7.0,3.0
361659,1,6.0,Zimbabwe,Canada,10421.0,21364.0,2.0,16.0,1.0,6.0,18.0,7.0
361653,1,7.0,Zimbabwe,Sri Lanka,10421.0,45326.0,11.0,4.0,8.0,7.0,15.0,15.0
350347,1,7.0,South Africa,Bangladesh,10401.0,45889.0,1.0,1.0,2.0,1.0,2.0,3.0
354459,1,10.0,Kenya,Scotland,4171.0,49761.0,0.0,3.0,0.0,1.0,3.0,1.0
300436,2,1.0,New Zealand,England,10384.0,44946.0,2.0,12.0,4.0,13.0,14.0,17.0
361657,1,7.0,Zimbabwe,Pakistan,49274.0,51554.0,5.0,1.0,5.0,6.0,6.0,11.0
361531,1,6.0,Scotland,Netherlands,46142.0,52063.0,0.0,0.0,0.0,1.0,0.0,1.0
291356,1,8.0,India,Australia,7139.0,11399.0,1.0,2.0,3.0,4.0,3.0,7.0
361654,1,8.0,Pakistan,Canada,44908.0,48128.0,0.0,0.0,0.0,2.0,0.0,2.0
361659,2,1.0,Canada,Zimbabwe,10336.0,57551.0,2.0,2.0,8.0,5.0,4.0,13.0
361653,1,8.0,Zimbabwe,Sri Lanka,7432.0,10421.0,1.0,0.0,2.0,0.0,2.0,3.0
350347,1,8.0,South Africa,Bangladesh,17857.0,45889.0,1.0,1.0,1.0,1.0,3.0,2.0
354459,2,1.0,Scotland,Kenya,45548.0,46048.0,54.0,44.0,60.0,44.0,102.0,104.0
300436,2,2.0,New Zealand,England,10384.0,44930.0,3.0,2.0,5.0,2.0,5.0,7.0
361657,1,8.0,Zimbabwe,Pakistan,45326.0,49274.0,0.0,0.0,0.0,1.0,2.0,4.0
361531,1,7.0,Scotland,Netherlands,48469.0,52063.0,2.0,2.0,2.0,4.0,5.0,6.0
291356,1,9.0,India,Australia,11399.0,12020.0,0.0,0.0,0.0,1.0,0.0,1.0
361654,2,1.0,Canada,Pakistan,46191.0,57551.0,0.0,0.0,2.0,0.0,1.0,2.0
361659,2,2.0,Canada,Zimbabwe,47081.0,57551.0,0.0,0.0,5.0,3.0,1.0,8.0
361653,1,9.0,Zimbabwe,Sri Lanka,10421.0,45215.0,6.0,2.0,5.0,2.0,9.0,7.0
350347,2,1.0,Bangladesh,South Africa,47218.0,48391.0,4.0,18.0,2.0,17.0,25.0,19.0
354459,2,2.0,Scotland,Kenya,46048.0,46142.0,0.0,1.0,0.0,3.0,5.0,5.0
300436,2,3.0,New Zealand,England,10381.0,44930.0,4.0,19.0,3.0,8.0,23.0,11.0
361657,1,9.0,Zimbabwe,Pakistan,7432.0,45326.0,0.0,0.0,2.0,0.0,0.0,2.0
361531,1,8.0,Scotland,Netherlands,4968.0,52063.0,1.0,0.0,1.0,0.0,1.0,1.0
291356,1,10.0,India,Australia,11399.0,49327.0,8.0,3.0,6.0,6.0,11.0,12.0
361654,2,2.0,Canada,Pakistan,19653.0,57551.0,4.0,6.0,5.0,7.0,12.0,12.0
361659,2,3.0,Canada,Zimbabwe,21252.0,47081.0,4.0,0.0,8.0,7.0,5.0,15.0
361653,2,1.0,Sri Lanka,Zimbabwe,7419.0,48468.0,7.0,25.0,11.0,15.0,36.0,26.0
350347,2,2.0,Bangladesh,South Africa,24667.0,48391.0,21.0,2.0,10.0,2.0,31.0,12.0
300436,2,4.0,New Zealand,England,9570.0,10381.0,13.0,17.0,14.0,13.0,30.0,27.0
361657,2,1.0,Pakistan,Zimbabwe,4169.0,47738.0,5.0,1.0,6.0,3.0,6.0,9.0
361531,1,9.0,Scotland,Netherlands,4968.0,46091.0,2.0,0.0,1.0,0.0,2.0,1.0
291356,2,1.0,Australia,India,4176.0,8876.0,25.0,30.0,22.0,23.0,57.0,45.0
361654,2,3.0,Canada,Pakistan,57551.0,57853.0,25.0,17.0,30.0,25.0,52.0,55.0
361659,2,4.0,Canada,Zimbabwe,21252.0,46191.0,4.0,7.0,11.0,8.0,13.0,19.0
361653,2,2.0,Sri Lanka,Zimbabwe,7419.0,15273.0,16.0,8.0,18.0,20.0,28.0,38.0
350347,2,3.0,Bangladesh,South Africa,48391.0,48394.0,5.0,3.0,4.0,5.0,9.0,9.0
300436,2,5.0,New Zealand,England,10381.0,35647.0,3.0,2.0,4.0,5.0,7.0,9.0
361657,2,2.0,Pakistan,Zimbabwe,11647.0,47738.0,32.0,49.0,44.0,51.0,96.0,95.0
361531,2,1.0,Netherlands,Scotland,10323.0,48655.0,2.0,0.0,3.0,0.0,4.0,6.0
291356,2,2.0,Australia,India,6253.0,8876.0,10.0,7.0,10.0,13.0,18.0,23.0
361654,2,4.0,Canada,Pakistan,10336.0,57551.0,1.0,0.0,5.0,0.0,1.0,5.0
361659,2,5.0,Canada,Zimbabwe,46191.0,57853.0,0.0,6.0,0.0,10.0,12.0,17.0
361653,2,3.0,Sri Lanka,Zimbabwe,7419.0,8195.0,6.0,0.0,3.0,0.0,7.0,5.0
350347,2,4.0,Bangladesh,South Africa,48277.0,48391.0,4.0,0.0,2.0,1.0,4.0,3.0
300436,2,6.0,New Zealand,England,10381.0,47488.0,7.0,2.0,5.0,0.0,7.0,5.0
361657,2,3.0,Pakistan,Zimbabwe,11643.0,11647.0,0.0,0.0,4.0,0.0,1.0,4.0
361531,2,2.0,Netherlands,Scotland,6362.0,48655.0,24.0,17.0,28.0,20.0,46.0,48.0
361654,2,5.0,Canada,Pakistan,21252.0,57551.0,0.0,4.0,0.0,6.0,5.0,7.0
361659,2,6.0,Canada,Zimbabwe,46191.0,47129.0,16.0,1.0,8.0,5.0,17.0,13.0
361653,2,4.0,Sri Lanka,Zimbabwe,6315.0,7419.0,0.0,0.0,0.0,1.0,0.0,1.0
350347,2,5.0,Bangladesh,South Africa,47189.0,48277.0,1.0,0.0,1.0,0.0,1.0,2.0
300436,2,7.0,New Zealand,England,10303.0,47488.0,7.0,1.0,4.0,2.0,8.0,6.0
361657,2,4.0,Pakistan,Zimbabwe,11647.0,47099.0,0.0,5.0,0.0,3.0,7.0,7.0
361531,2,3.0,Netherlands,Scotland,48655.0,49443.0,1.0,9.0,5.0,7.0,10.0,12.0
361654,2,6.0,Canada,Pakistan,21252.0,47129.0,0.0,0.0,0.0,4.0,2.0,5.0
